DATE,LPMB5S9,LPMB6S2,LPMB6S3,LPMB75C,LPMB76C,LPMVYWO,LPMZ3TT,LPMZ3TV,LPMZ3TX,LPMVWLQ,LPMVWLW,RPMB3OM
31 May 2013,121331,30146,51663,83,4774,53656,490591,149058,146221,39547,3578,133836
30 Jun 2013,123747,30674,52547,83,4808,54034,494909,152988,150600,42258,3426,142652
31 Jul 2013,124850,37307,53493,83,4770,53622,494595,149308,150273,47099,3361,136036
31 Aug 2013,126832,38873,53753,83,4806,54018,501303,149902,150039,43109,3679,134012
30 Sep 2013,127008,30598,54073,83,4826,54239,505477,162439,155509,40875,3538,140523
31 Oct 2013,128762,29886,55488,83,4811,54068,513483,157642,155793,43837,3054,138835
30 Nov 2013,133239,32567,55633,83,4914,55212,519927,160111,159879,42021,3474,140565
31 Dec 2013,130416,33714,58725,83,4943,55524,527272,156318,163288,38381,3738,145396
31 Jan 2014,132407,31079,55114,83,4824,54216,528284,157791,159989,48902,3655,137481
28 Feb 2014,135549,32106,54560,83,4849,54493,534686,153681,161749,48542,3669,140432
31 Mar 2014,136482,31350,57348,83,4896,55011,538310,166386,167347,42938,3588,143337
30 Apr 2014,137106,29808,57674,83,4886,54901,540431,165281,163060,41993,3724,131123
31 May 2014,138702,27538,57798,83,4973,55854,545975,167584,165813,40908,3731,141090
30 Jun 2014,139734,30874,60212,83,4993,56080,548387,170924,171494,39975,3675,144330
31 Jul 2014,139900,27232,62152,83,5008,56245,542937,167243,170632,44809,3783,145022
31 Aug 2014,142628,24974,61225,83,5083,57076,545941,170194,169918,46779,3722,140505
30 Sep 2014,142587,29303,63454,83,5044,56645,549820,168660,174056,39746,3557,146254
31 Oct 2014,145482,29734,64563,83,5123,57511,554901,154677,172958,46025,3493,144177
30 Nov 2014,147432,32360,67566,83,5246,58871,556869,157217,173092,45767,4185,145187
31 Dec 2014,147608,30236,74009,83,5214,58527,560990,160963,172888,41679,3566,150731
31 Jan 2015,149462,31221,70355,83,5117,57445,557135,165227,171744,44433,3499,146519
28 Feb 2015,153041,33016,70772,83,5149,57810,560494,157903,171281,43104,3428,142548
31 Mar 2015,152517,33958,74622,83,5179,58131,562472,169958,181800,40133,3213,158621
30 Apr 2015,153577,35407,74532,83,5205,58421,563507,164229,173920,44546,3247,143921
31 May 2015,155979,35536,74583,83,5288,59335,567127,161653,175461,43939,3207,144400
30 Jun 2015,156042,36804,76477,83,5235,58760,574783,162337,182715,44115,3292,149164
31 Jul 2015,158423,37526,76787,83,5315,59640,575158,161573,183568,44741,3324,146148
31 Aug 2015,161260,35518,76152,83,5367,60217,577444,151891,180928,47665,3517,150071
30 Sep 2015,160831,37947,78822,83,5296,59430,579055,156722,186913,38884,3552,158909
31 Oct 2015,164520,38649,82208,83,5399,60565,585638,152302,184900,39782,3512,143841
30 Nov 2015,164346,37711,81351,83,5472,61370,587792,156777,189499,42118,3479,150548
31 Dec 2015,167391,37030,85076,83,5534,62052,594332,149823,188824,39542,3885,158148
31 Jan 2016,168317,41096,81806,83,5459,61228,593394,151112,184925,39706,3914,158484
29 Feb 2016,168816,41338,82087,83,5481,61471,598819,159792,188340,38132,3869,158086
31 Mar 2016,173923,41179,85851,83,5530,62015,605267,161653,197779,33722,3877,166282
30 Apr 2016,176814,39264,84298,83,5626,63073,612471,151441,185125,44135,3630,161550
31 May 2016,161938,40664,85992,83,5622,63030,630130,163422,187162,43300,3561,152548
30 Jun 2016,163589,43174,90388,83,5625,63067,634583,182424,195624,42565,3599,166716
31 Jul 2016,166056,41754,90057,83,5762,64577,638134,182020,192466,41435,3515,176575
31 Aug 2016,163769,43993,93139,83,5725,64168,641463,181087,192510,43069,3715,177915
30 Sep 2016,168351,46218,95499,83,5813,65139,649785,179890,194897,36781,3600,170492
31 Oct 2016,168815,45775,97959,83,5888,65971,654656,177365,191671,40419,3631,171335
30 Nov 2016,169995,45531,99892,83,5911,66224,655619,175322,192593,40878,3686,169995
31 Dec 2016,175970,47725,103555,83,6047,67728,659970,169414,193039,36965,3760,172218
31 Jan 2017,174610,46929,99884,83,5878,65853,652907,167085,191891,36311,3567,174390
28 Feb 2017,176192,44591,99076,83,5892,66014,657291,165711,191116,38312,3745,172824
31 Mar 2017,180566,46962,104379,83,5966,66830,662552,173236,198304,32717,3532,177016
30 Apr 2017,184078,45791,104175,83,6035,67588,663897,169918,193116,33879,3460,173275
31 May 2017,179272,47540,104955,83,5968,66858,664901,179452,198037,38759,3398,179365
30 Jun 2017,183690,47979,106461,83,6023,67461,669591,175780,206999,37586,3539,182993
31 Jul 2017,183183,48269,107640,83,6051,67764,669309,171237,198827,43956,6922,179581
31 Aug 2017,182612,50932,109872,83,6037,67620,673310,175274,201347,44488,7042,181096
30 Sep 2017,187911,55208,115261,83,6068,67956,677641,176529,203957,35145,7314,171892
31 Oct 2017,186382,57389,116764,83,6012,67337,681743,164104,202593,39446,7363,169642
30 Nov 2017,188379,54350,118465,83,6044,67693,684153,162124,207222,38976,7335,172043
31 Dec 2017,190037,53442,118504,83,6152,68886,688239,165118,205003,35449,7430,181934
31 Jan 2018,155839,43739,90024,83,5907,66175,714309,183170,229481,38850,7448,168640
28 Feb 2018,157084,42562,89223,83,5891,66003,717106,180854,229309,39983,7407,167832
31 Mar 2018,161986,43232,91382,83,6010,67322,722143,181818,232821,32426,7466,175494
30 Apr 2018,160178,41301,91491,83,5920,66318,719101,183715,237052,37785,3810,174154
31 May 2018,160861,41737,93411,83,5964,66806,723131,188207,238945,38229,3806,190998
30 Jun 2018,164769,41539,95668,83,6007,67282,728307,183686,243888,37363,3783,187794
31 Jul 2018,163107,47669,96886,83,6005,67257,727096,178892,241826,39645,3661,200389
31 Aug 2018,165883,46378,97198,83,6031,67543,732265,175115,242776,40492,3774,187758
30 Sep 2018,166487,39815,95517,83,6043,67676,736270,181671,246045,38570,3747,199206
31 Oct 2018,165277,36114,99111,83,6009,67305,738124,185827,245465,39219,3720,185148
30 Nov 2018,170856,42773,119878,83,6054,67804,740158,177503,225822,37864,3688,176950
31 Dec 2018,169353,38393,122317,83,6129,68627,745179,177336,225823,36463,3886,177117
31 Jan 2019,165878,40346,116301,83,5930,66434,739003,175225,223284,37435,3898,176307
28 Feb 2019,167966,41019,114282,83,5928,66409,743717,169963,218967,36331,3900,177103
31 Mar 2019,169621,41756,115116,83,5981,67001,747229,175942,224151,31943,3803,176684
30 Apr 2019,169441,40139,116131,83,5954,66697,746542,178390,219900,36108,3728,173579
31 May 2019,172086,42282,117183,83,5998,67188,752237,170541,222153,34078,3611,173325
30 Jun 2019,172841,41540,117084,83,6061,67885,755164,171688,224762,34592,3691,179112
31 Jul 2019,171429,40272,119896,83,6044,67690,753520,174186,224023,37177,3659,182813
31 Aug 2019,174378,41215,118027,83,6140,68748,759119,183196,225552,52330,3767,174110
30 Sep 2019,174706,45977,118528,35,6207,68961,763409,181500,231701,37743,3679,182939
31 Oct 2019,174866,40580,120210,35,6175,68605,768078,178432,229446,37880,3679,179553
30 Nov 2019,181777,42010,121469,35,6249,69426,770152,181025,231089,35804,3543,179756
31 Dec 2019,179998,40033,123197,35,6271,69674,773829,182378,232110,34151,3594,179448
31 Jan 2020,180351,45825,118444,35,6123,68039,767908,181040,227537,36200,3833,177691
29 Feb 2020,183369,40523,118426,35,6129,68100,773663,186623,226157,34496,3884,177012
31 Mar 2020,187908,45081,130052,35,6130,68112,784042,221737,249001,33564,4427,209912
30 Apr 2020,190213,45225,138071,35,6255,69496,799266,220498,252217,35667,4051,200878
31 May 2020,201147,45148,150783,35,6494,72131,816781,216246,263471,36822,4429,204065
30 Jun 2020,202667,45223,157160,35,6642,73770,823690,213204,276242,36542,5102,219339
31 Jul 2020,207208,46320,160767,35,6752,74986,829362,215002,275747,34154,4870,209004
31 Aug 2020,212307,47423,161169,35,6802,75535,832214,214167,277381,47121,4539,213583
30 Sep 2020,213067,46639,163372,35,6828,75819,836669,216314,283700,43674,4707,220729
31 Oct 2020,217928,46862,166674,35,6878,76374,848844,222790,285019,41836,4582,215463
30 Nov 2020,219749,44561,164813,35,6944,77100,861572,232290,292945,41659,4825,220157
31 Dec 2020,225464,45745,172620,35,7038,78149,880228,219238,295273,40595,4680,219831
31 Jan 2021,229139,47163,166424,35,7031,78069,884956,219772,294040,43405,4621,203480
28 Feb 2021,235728,47563,165188,35,7075,78555,900038,219363,293743,38118,4384,210155
31 Mar 2021,237885,49130,168889,35,7149,79372,914640,227080,304063,51693,5652,213380
30 Apr 2021,244651,47658,169245,35,7219,80146,928777,226808,297196,47133,4863,209128
31 May 2021,243909,49298,169982,35,7279,80808,938117,219293,300594,50346,4471,202945
30 Jun 2021,245488,49148,175123,35,7228,80241,945881,219031,313848,47502,4690,215850
31 Jul 2021,246527,49622,175128,35,7243,80408,950706,223822,299697,48445,4741,219047
31 Aug 2021,245307,51337,176515,35,7249,80472,952943,220572,302093,51704,4685,221764
30 Sep 2021,249361,50259,179700,35,7219,80140,961785,231543,313258,46578,5064,224174
31 Oct 2021,257159,50755,182026,35,7243,80409,968284,237681,306799,46511,4662,230885
30 Nov 2021,256447,51565,183835,35,7216,80113,970364,234010,312868,44689,4722,219363
31 Dec 2021,259280,48509,190593,35,7199,79925,981006,225442,308422,43159,5067,226369
31 Jan 2022,257265,54582,184179,35,7097,78796,972174,223567,305735,48939,4316,256113
28 Feb 2022,260847,50490,181599,35,7055,78333,978100,228502,306616,53786,4394,231874
31 Mar 2022,263505,52080,188276,35,7036,78124,985328,239799,317845,42525,4818,229384
30 Apr 2022,267416,52754,186940,35,7032,78078,991381,229980,302959,45368,5309,223162
31 May 2022,263955,51751,192337,35,7027,78022,994461,232635,310272,45297,5304,225521
30 Jun 2022,264279,50992,194549,35,6987,77580,997736,241230,312683,47414,5656,225739
31 Jul 2022,265846,49844,188543,35,7032,78080,998185,250958,305290,43716,5562,216166
31 Aug 2022,267913,49964,192909,35,7007,77799,994539,251904,304587,52503,5653,219986
30 Sep 2022,272844,55057,195272,35,6965,77341,1003640,318955,310537,45254,6385,241969
31 Oct 2022,269462,47166,193386,35,6982,77528,997205,287903,298529,47462,5741,231724
30 Nov 2022,268358,42512,191883,35,7031,78062,993383,273275,296290,42566,5712,219832
31 Dec 2022,267255,41677,194074,35,7142,79291,995112,233937,286940,40017,5778,204170
31 Jan 2023,259245,43338,187289,35,7012,77858,975596,263454,282552,38726,5800,205567
28 Feb 2023,256128,42038,178389,35,7023,77983,973560,265186,285126,43153,5747,204852
31 Mar 2023,257422,38539,177888,35,7040,78171,965173,261927,288343,40392,5549,198575
30 Apr 2023,254035,37838,173696,35,7083,78643,957141,263061,280014,42018,5599,200125
31 May 2023,249860,35999,172149,35,7059,78374,944577,274187,280685,42423,5497,199195
30 Jun 2023,273627,38248,178822,35,7042,78188,920361,268136,273807,42110,5215,194796
31 Jul 2023,264082,34833,176254,35,7043,78194,907626,275712,266743,40336,5831,194096
31 Aug 2023,257996,36361,173326,35,7006,77790,901187,262992,270371,48311,5625,188118
30 Sep 2023,260316,36732,169731,35,7014,77877,900826,235136,271852,35637,5665,192989
31 Oct 2023,253670,36516,167826,35,7028,78037,899551,240630,267583,40939,6059,195439
30 Nov 2023,252760,37025,167159,35,7091,78726,899883,235618,271411,41540,5753,184964
31 Dec 2023,254050,35692,167191,35,7218,80133,907931,243574,266678,38425,5642,188633
31 Jan 2024,246286,35995,156792,35,7058,78370,903495,237262,261980,37161,5468,185145
29 Feb 2024,250764,34911,154902,35,7082,78625,905561,238082,263968,39129,5435,180540
31 Mar 2024,257621,36291,156496,35,7174,79649,912781,243612,266891,35184,5427,183563
30 Apr 2024,251113,33415,154562,35,7127,79129,903852,239938,265780,30684,5738,185713
31 May 2024,252198,36564,154190,35,7138,79251,907791,232456,268344,29268,5504,184194
30 Jun 2024,254307,34613,155185,35,7146,79342,911779,227985,272097,33838,5568,183634
31 Jul 2024,249006,34131,153536,35,7149,79369,908966,231765,269815,33802,5284,183246
31 Aug 2024,252432,35963,154142,35,7156,79446,915552,218233,268451,38511,5789,192411
30 Sep 2024,252746,34834,154966,35,7161,79498,920348,226767,272095,33207,6765,182220
31 Oct 2024,254914,36338,155803,35,7186,79780,936602,226024,269105,30621,6381,170435
30 Nov 2024,303992,37943,154816,35,7257,80564,900010,227029,269668,33726,5861,170160
31 Dec 2024,298944,33976,160399,35,7388,82005,905766,221547,269773,30456,6152,168351
31 Jan 2025,298853,36484,153916,35,7325,81315,906465,234281,268624,31528,5938,182607
28 Feb 2025,301657,34925,146758,35,7366,81770,909556,226265,268335,37357,5607,169882
31 Mar 2025,302077,37035,151545,35,7475,82971,905936,231373,283090,33109,5649,173270
30 Apr 2025,297158,35395,149241,35,7528,83555,897015,226785,272312,36166,5750,170523
